N	D1mr_slow	D1mw_slow	D1mr_fast	D1mw_fast
11216	731386271	50897206	613318995	50897206
11280	739693656	51456987	620273442	51456987
11344	748143982	52110220	627371293	52110220
11408	756468917	52677115	634327292	52677115
11472	765154057	53246567	641635799	53246566
11536	773650582	53819114	648748595	53819113
11600	782292097	54487119	656007028	54487118
11664	790804441	55066775	663119631	55066774
11728	799683915	55648953	670591670	55648952
11792	808369487	56234230	677862722	56234229
11856	817202263	56917011	685281809	56917010
11920	825901969	57509424	692550969	57509423
11984	834975829	58104344	700186592	58104344
12048	843850467	58702359	707615916	58702358
12112	852874487	59399929	715195640	59399928
12176	861761538	60005085	722621340	60005084
12240	871029754	60612755	730420511	60612754
