N	D1mr_slow	D1mw_slow	D1mr_fast	D1mw_fast
2804	45719584	3183336	38337206	3183336
2820	46243327	3218268	38776398	3218268
2836	46749927	3253825	39197965	3253825
2852	47258898	3289495	39621336	3289495
2868	47770804	3325244	40047082	3325244
2884	48291087	3366715	40480858	3366715
2900	48914238	3419079	41019130	3419079
2916	49435073	3455663	41452637	3455663
2932	49981166	3491811	41910720	3491811
2948	50507801	3528714	42348985	3528714
2964	51037174	3565912	42789458	3565912
2980	51615091	3602618	43277949	3602618
2996	52196444	3639372	43769282	3639372
3012	52734375	3677059	44216880	3677059
3028	53322315	3714676	44713934	3714677
3044	53866161	3752783	45166489	3752784
3060	54447193	3790606	45655662	3790607
