N	matmul	matmulfast
tamano-128	.03275550000000000000	.01661100000000000000
tamano-132	.01645200000000000000	.01614350000000000000
tamano-136	.01746450000000000000	.01721650000000000000
tamano-140	.01906450000000000000	.01878400000000000000
tamano-144	.02055600000000000000	.02053850000000000000
tamano-148	.02235000000000000000	.02239700000000000000
tamano-152	.02443450000000000000	.02397550000000000000
tamano-156	.02689600000000000000	.02630900000000000000
tamano-160	.02870600000000000000	.02817300000000000000
tamano-164	.03054600000000000000	.03036800000000000000
tamano-168	.03289700000000000000	.03281000000000000000
tamano-172	.03747150000000000000	.03472550000000000000
tamano-176	.03856150000000000000	.03698750000000000000
tamano-180	.04061000000000000000	.03978650000000000000
tamano-184	.04300550000000000000	.04257850000000000000
tamano-188	.04592500000000000000	.04500800000000000000
tamano-192	.04875450000000000000	.04858100000000000000
tamano-196	.05264350000000000000	.05164400000000000000
tamano-200	.05464300000000000000	.05504500000000000000
tamano-204	.05970950000000000000	.05740800000000000000
tamano-208	.06217300000000000000	.06151800000000000000
tamano-212	.06557000000000000000	.06468950000000000000
tamano-216	.06900250000000000000	.06838000000000000000
tamano-220	.07245950000000000000	.07187400000000000000
tamano-224	.07628300000000000000	.07598200000000000000
tamano-228	.08096450000000000000	.08022350000000000000
tamano-232	.08445050000000000000	.08432600000000000000
tamano-236	.09031050000000000000	.08875100000000000000
tamano-240	.09498400000000000000	.09301250000000000000
tamano-244	.10030650000000000000	.09795750000000000000
tamano-248	.10416150000000000000	.10302150000000000000
tamano-252	.10981050000000000000	.10851000000000000000
tamano-256	.11458900000000000000	.11305700000000000000
