0	.00000100000000000000 2604	663	0 2602	665
16	.00005100000000000000 2605	764	.00002700000000000000 2603	766
32	.00047550000000000000 2628	1064	.00017750000000000000 2627	1065
48	.00109550000000000000 2955	1561	.00061200000000000000 2953	1564
64	.00214800000000000000 102763	4294	.00157100000000000000 20363	2249
80	.00371050000000000000 67461	3121	.00286000000000000000 68396	3124
96	.00595350000000000000 115207	4195	.00497450000000000000 115709	4186
112	.00866950000000000000 179982	5437	.00801650000000000000 181583	5439
128	.01365450000000000000 2138640	21221	.01163450000000000000 269089	6890
144	.01735450000000000000 380671	8804	.01665450000000000000 381302	8529
